ds,y
2016-12-15,130
2016-12-16,127
2016-12-17,94
2016-12-18,109
2016-12-19,116
2016-12-20,135
2016-12-21,120
2016-12-22,125
2016-12-23,134
2016-12-24,92
2016-12-25,115
2016-12-26,118
2016-12-27,140
2016-12-28,122
2016-12-29,139
2016-12-30,129
2016-12-31,116
2017-01-01,150
2017-01-02,149
2017-01-03,138
2017-01-04,144
2017-01-05,143
2017-01-06,103
2017-01-07,99
2017-01-08,107
2017-01-09,144
2017-01-10,147
2017-01-11,146
2017-01-12,166
2017-01-13,140
2017-01-14,100
2017-01-15,92
2017-01-16,142
2017-01-17,141
2017-01-18,141
2017-01-19,126
2017-01-20,124
2017-01-21,102
2017-01-22,110
2017-01-23,167
2017-01-24,139
2017-01-25,151
2017-01-26,134
2017-01-27,117
2017-01-28,87
2017-01-29,101
2017-01-30,163
2017-01-31,132
2017-02-01,122
2017-02-02,147
2017-02-03,116
2017-02-04,93
2017-02-05,97
2017-02-06,159
2017-02-07,144
2017-02-08,163
